"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"04.01.2016 22:00 - 04.01.2016 22:15","10435","10359"
"04.01.2016 22:15 - 04.01.2016 22:30","10603","10489"
"04.01.2016 22:30 - 04.01.2016 22:45","10601","10497"
"04.01.2016 22:45 - 04.01.2016 23:00","10541","10487"
"04.01.2016 23:00 - 04.01.2016 23:15","10687","10580"
"04.01.2016 23:15 - 04.01.2016 23:30","10543","10489"
"04.01.2016 23:30 - 04.01.2016 23:45","10342","10254"
"04.01.2016 23:45 - 05.01.2016 00:00","10156","10073"
"05.01.2016 00:00 - 05.01.2016 00:15","10305","9803"
"05.01.2016 00:15 - 05.01.2016 00:30","10090","9590"
"05.01.2016 00:30 - 05.01.2016 00:45","9874","9410"
"05.01.2016 00:45 - 05.01.2016 01:00","9661","9354"
"05.01.2016 01:00 - 05.01.2016 01:15","9384","9234"
"05.01.2016 01:15 - 05.01.2016 01:30","9210","9050"
"05.01.2016 01:30 - 05.01.2016 01:45","9078","8966"
"05.01.2016 01:45 - 05.01.2016 02:00","8902","8820"
"05.01.2016 02:00 - 05.01.2016 02:15","8850","8747"
"05.01.2016 02:15 - 05.01.2016 02:30","8747","8783"
"05.01.2016 02:30 - 05.01.2016 02:45","8701","8709"
"05.01.2016 02:45 - 05.01.2016 03:00","8654","8686"
"05.01.2016 03:00 - 05.01.2016 03:15","8549","8612"
"05.01.2016 03:15 - 05.01.2016 03:30","8503","8578"
"05.01.2016 03:30 - 05.01.2016 03:45","8516","8626"
"05.01.2016 03:45 - 05.01.2016 04:00","8517","8645"
"05.01.2016 04:00 - 05.01.2016 04:15","8579","8699"
"05.01.2016 04:15 - 05.01.2016 04:30","8574","8709"
"05.01.2016 04:30 - 05.01.2016 04:45","8613","8731"
"05.01.2016 04:45 - 05.01.2016 05:00","8681","8872"
"05.01.2016 05:00 - 05.01.2016 05:15","8837","9026"
"05.01.2016 05:15 - 05.01.2016 05:30","8903","9115"
"05.01.2016 05:30 - 05.01.2016 05:45","9033","9242"
"05.01.2016 05:45 - 05.01.2016 06:00","9152","9409"
"05.01.2016 06:00 - 05.01.2016 06:15","9481","9895"
"05.01.2016 06:15 - 05.01.2016 06:30","9668","10287"
"05.01.2016 06:30 - 05.01.2016 06:45","9845","10555"
"05.01.2016 06:45 - 05.01.2016 07:00","9950","10839"
"05.01.2016 07:00 - 05.01.2016 07:15","10066","11047"
"05.01.2016 07:15 - 05.01.2016 07:30","10256","11278"
"05.01.2016 07:30 - 05.01.2016 07:45","10482","11588"
"05.01.2016 07:45 - 05.01.2016 08:00","10675","11700"
"05.01.2016 08:00 - 05.01.2016 08:15","10840","11893"
"05.01.2016 08:15 - 05.01.2016 08:30","11068","11989"
"05.01.2016 08:30 - 05.01.2016 08:45","11064","11939"
"05.01.2016 08:45 - 05.01.2016 09:00","11076","11911"
"05.01.2016 09:00 - 05.01.2016 09:15","11156","11920"
"05.01.2016 09:15 - 05.01.2016 09:30","11200","11921"
"05.01.2016 09:30 - 05.01.2016 09:45","11283","11959"
"05.01.2016 09:45 - 05.01.2016 10:00","11359","11953"
"05.01.2016 10:00 - 05.01.2016 10:15","11408","11938"
"05.01.2016 10:15 - 05.01.2016 10:30","11421","11948"
"05.01.2016 10:30 - 05.01.2016 10:45","11428","12070"
"05.01.2016 10:45 - 05.01.2016 11:00","11438","12091"
"05.01.2016 11:00 - 05.01.2016 11:15","11506","12091"
"05.01.2016 11:15 - 05.01.2016 11:30","11540","12235"
