"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","22.05.2015 09:00 - 22.05.2015 10:00 (CET)","274","n/e","n/e","2081","0","0","n/e","n/e","n/e","586","","16","n/e","n/e","3447","754","n/e","892","238","72","13"
"Belgium (BE)","22.05.2015 10:00 - 22.05.2015 11:00 (CET)","274","n/e","n/e","1921","0","0","n/e","n/e","n/e","553","","16","n/e","n/e","3444","753","n/e","1248","238","71","10"
"Belgium (BE)","22.05.2015 11:00 - 22.05.2015 12:00 (CET)","270","n/e","n/e","1850","0","0","n/e","n/e","n/e","362","","16","n/e","n/e","3440","746","n/e","1647","239","54","10"
"Belgium (BE)","22.05.2015 12:00 - 22.05.2015 13:00 (CET)","273","n/e","n/e","1744","0","0","n/e","n/e","n/e","104","0","15","n/e","n/e","3435","707","n/e","1991","230","49","11"
"Belgium (BE)","22.05.2015 13:00 - 22.05.2015 14:00 (CET)","274","n/e","n/e","1666","0","0","n/e","n/e","n/e","","0","15","n/e","n/e","3430","674","n/e","2065","219","55","10"
"Belgium (BE)","22.05.2015 14:00 - 22.05.2015 15:00 (CET)","270","n/e","n/e","1704","0","0","n/e","n/e","n/e","","105","16","n/e","n/e","3432","671","n/e","1876","219","112","12"
"Belgium (BE)","22.05.2015 15:00 - 22.05.2015 16:00 (CET)","274","n/e","n/e","1571","0","0","n/e","n/e","n/e","","243","18","n/e","n/e","3448","633","n/e","1622","219","221","14"
"Belgium (BE)","22.05.2015 16:00 - 22.05.2015 17:00 (CET)","278","n/e","n/e","1621","0","0","n/e","n/e","n/e","","145","17","n/e","n/e","3452","605","n/e","1272","219","271","17"
"Belgium (BE)","22.05.2015 17:00 - 22.05.2015 18:00 (CET)","275","n/e","n/e","1608","0","0","n/e","n/e","n/e","19","2","15","n/e","n/e","3452","616","n/e","952","219","285","20"
"Belgium (BE)","22.05.2015 18:00 - 22.05.2015 19:00 (CET)","268","n/e","n/e","1642","0","0","n/e","n/e","n/e","81","","15","n/e","n/e","3454","622","n/e","601","221","244","25"
